default	00:00:00.000	0.00	00:00:10.520	10.52	00:00:10.520	10.52	Entrance
default	00:00:47.880	47.88	00:02:20.840	140.84	00:01:32.960	92.96	3D-lab
default	00:02:48.920	168.92	00:04:15.920	255.92	00:01:27.000	87.00	Kitchen 1
default	00:04:39.880	279.88	00:04:56.120	296.12	00:00:16.240	16.24	3D-lab
default	00:05:20.000	320.00	00:08:43.000	523.00	00:03:23.000	203.00	Kitchen 1
default	00:09:07.000	547.00	00:09:39.920	579.92	00:00:32.920	32.92	3D-lab
default	00:10:11.000	611.00	00:11:53.000	713.00	00:01:42.000	102.00	Caffe-area
default	00:12:23.000	743.00	00:12:54.960	774.96	00:00:31.960	31.96	3D-lab
default	00:13:22.320	802.32	00:18:16.920	1096.92	00:04:54.600	294.60	Caffe-area
default	00:18:45.000	1125.00	00:19:17.920	1157.92	00:00:32.920	32.92	3D-lab
default	00:19:47.000	1187.00	00:22:08.960	1328.96	00:02:21.960	141.96	Caffe-area
default	00:22:20.960	1340.96	00:23:21.920	1401.92	00:01:00.960	60.96	Kitchen 1
default	00:23:33.000	1413.00	00:25:55.960	1555.96	00:02:22.960	142.96	Caffe-area
default	00:26:24.920	1584.92	00:27:03.080	1623.08	00:00:38.160	38.16	3D-lab
default	00:27:14.960	1634.96	00:29:08.320	1748.32	00:01:53.360	113.36	Lab
default	00:29:35.880	1775.88	00:30:46.000	1846.00	00:01:10.120	70.12	Kitchen 1
default	00:31:12.000	1872.00	00:34:09.000	2049.00	00:02:57.000	177.00	Lab
default	00:34:39.920	2079.92	00:35:08.040	2108.04	00:00:28.120	28.12	Kitchen 1
default	00:35:35.960	2135.96	00:37:34.040	2254.04	00:01:58.080	118.08	Lab
default	00:38:04.160	2284.16	00:39:08.000	2348.00	00:01:03.840	63.84	Kitchen 1
default	00:39:35.120	2375.12	00:41:06.960	2466.96	00:01:31.840	91.84	Lab
default	00:41:26.240	2486.24	00:42:18.960	2538.96	00:00:52.720	52.72	Printer 1
default	00:42:38.480	2558.48	00:43:46.960	2626.96	00:01:08.480	68.48	Lab
default	00:44:03.560	2643.56	00:44:44.040	2684.04	00:00:40.480	40.48	Printer 1
default	00:45:00.520	2700.52	00:45:53.000	2753.00	00:00:52.480	52.48	Lab
default	00:46:04.520	2764.52	00:46:59.080	2819.08	00:00:54.560	54.56	3D-lab
default	00:47:30.040	2850.04	00:48:38.960	2918.96	00:01:08.920	68.92	Caffe-area
default	00:49:07.920	2947.92	00:49:18.080	2958.08	00:00:10.160	10.16	Entrance
